 SELECT mc.strcompanydisplaycode,(mc.strcompanydisplaycode || ' ' || mc.strcompanydisplayname) AS strcompanydisplaycodename, mc.strcompanydisplayname FROM m_company mc, m_attribute ma, m_attributerelation mar WHERE mc.lngcompanycode = mar.lngcompanycode  AND mar.lngattributecode = ma.lngattributecode  AND mar.lngattributecode = 3  AND mc.bytcompanydisplayflag = true     ORDER BY mc.strcompanydisplaycode 
 SELECT mc.strcompanydisplaycode,(mc.strcompanydisplaycode || ' ' || mc.strcompanydisplayname) AS strcompanydisplaycodename, mc.strcompanydisplayname FROM m_company mc, m_attribute ma, m_attributerelation mar WHERE mc.lngcompanycode = mar.lngcompanycode  AND mar.lngattributecode = ma.lngattributecode  AND mar.lngattributecode = 3  AND mc.bytcompanydisplayflag = true     ORDER BY mc.strcompanydisplaycode 
id	name1	name2
0000	0000 ¤½¤ÎÂ¾(ÆüËÜ)	¤½¤ÎÂ¾(ÆüËÜ)
0311	0311 ¥Ü¡¼¥¤¥º¥È¥¤»ö¶ÈÉô	¥Ü¡¼¥¤¥º¥È¥¤»ö¶ÈÉô
0341	0341 ¥¬¡¼¥ë¥º¥È¥¤»ö¶ÈÉô	¥¬¡¼¥ë¥º¥È¥¤»ö¶ÈÉô
0345	0345 ¥¤¥Î¥Ù¥¤¥Æ¥£¥Ö¥È¥¤»ö¶ÈÉô	¥¤¥Î¥Ù¥¤¥Æ¥£¥Ö¥È¥¤»ö¶ÈÉô
0346	0346 ¥×¥ì¥¤¥È¥¤»ö¶ÈÉô	¥×¥ì¥¤¥È¥¤»ö¶ÈÉô
0361	0361 ¥Ù¥ó¥À¡¼»ö¶ÈÉô¥«¥×¥»¥ë²Ý	¥Ù¥ó¥À¡¼»ö¶ÈÉô¥«¥×¥»¥ë²Ý
0362	0362 ¥­¥ã¥ó¥Ç¥£»ö¶ÈÉô	¥­¥ã¥ó¥Ç¥£»ö¶ÈÉô
0999	0999 ¥Ð¥ó¥À¥¤¤½¤ÎÂ¾	¥Ð¥ó¥À¥¤¤½¤ÎÂ¾
1103	1103 (³ô)¥¢¡¼¥È¥×¥ì¥¹¥È	(³ô)¥¢¡¼¥È¥×¥ì¥¹¥È
1112	1112 APEX MANUFACTURING CO., LTD.	APEX MANUFACTURING CO., LTD.
